the facts get in the way
Basic
0.6 0.6
432 172.8
Began 353.9721 345 308 -0.03472224 0.3935185
Stationary 354.0223 345 308 -0.03472224 0.3935185
Stationary 354.0538 345 308 -0.03472224 0.3935185
Stationary 354.0831 345 308 -0.03472224 0.3935185
Stationary 354.1142 345 308 -0.03472224 0.3935185
Stationary 354.144 345 308 -0.03472224 0.3935185
Stationary 354.1735 345 308 -0.03472224 0.3935185
Stationary 354.2025 345 308 -0.03472224 0.3935185
Moved 354.2332 345 296.2844 -0.03472224 0.3257199
Moved 354.2646 345 289.6532 -0.03472224 0.2873451
Moved 354.3014 353.8394 279.5803 -0.01426056 0.2290524
Moved 354.3325 363.0197 269.7253 0.006990135 0.1720213
Moved 354.3665 376.461 257.6312 0.03810426 0.1020322
Moved 354.3975 388.438 245.562 0.06582867 0.03218757
Moved 354.4328 397.7461 235.5078 0.08737524 -0.02599646
Moved 354.4648 400.4271 231.5729 0.09358118 -0.04876808
Moved 354.497 400 229.5 0.09259263 -0.06076372
Moved 354.529 387.2491 229 0.06307652 -0.06365723
Moved 354.5619 360.8499 246.15 0.00196745 0.03559042
Moved 354.5939 326.0544 261.8843 -0.0785777 0.1266455
Moved 354.6485 277.5186 287.0555 -0.1909292 0.2723122
Moved 354.6835 261.02 292.245 -0.2291204 0.3023437
Moved 354.7139 247.5645 297.8589 -0.2602673 0.3348317
Moved 354.7436 239.7509 300.6245 -0.2783543 0.3508363
Moved 354.781 235.6122 302 -0.2879348 0.3587963
Moved 354.8134 234 304 -0.2916667 0.3703706
Moved 354.8446 234 310.5 -0.2916667 0.4079861
Ended 354.8753 234 310.5 -0.2916667 0.4079861
Began 355.0216 321 212 -0.09027779 -0.1620369
Stationary 355.0623 321 212 -0.09027779 -0.1620369
Stationary 355.0912 321 212 -0.09027779 -0.1620369
Stationary 355.1189 321 212 -0.09027779 -0.1620369
Moved 355.1583 305.1573 212 -0.1269508 -0.1620369
Moved 355.1891 291.5 212 -0.1585648 -0.1620369
Moved 355.2208 274.9722 212 -0.1968235 -0.1620369
Moved 355.251 261.5281 212 -0.2279443 -0.1620369
Moved 355.2805 242.7111 222.2889 -0.2715021 -0.1024946
Moved 355.3171 231.038 222.2405 -0.2985232 -0.102775
Moved 355.3475 216.9949 223 -0.3310302 -0.09837963
Moved 355.3784 206.5292 223 -0.3552564 -0.09837963
Moved 355.4087 200.5316 223 -0.3691399 -0.09837963
Moved 355.4409 199 224 -0.3726852 -0.09259242
Moved 355.4851 197.6235 224 -0.3758714 -0.09259242
Moved 355.5181 210.8832 207.1168 -0.3451778 -0.1902962
Moved 355.5479 229.2485 193.7151 -0.3026654 -0.2678523
Moved 355.5782 250.5617 181.8127 -0.2533293 -0.3367318
Moved 355.609 262.7813 176.2875 -0.2250432 -0.3687068
Moved 355.6405 278.2715 171.7457 -0.1891864 -0.3949898
Moved 355.6719 286.0202 170 -0.1712495 -0.4050924
Moved 355.7028 292.5553 170 -0.156122 -0.4050924
Moved 355.7324 303.4697 180.8895 -0.1308573 -0.3420745
Moved 355.7618 323.8298 208.7446 -0.08372739 -0.180876
Moved 355.8087 341.2947 238.442 -0.04329935 -0.009016285
Moved 355.8385 347.0354 251.5885 -0.03001074 0.06706326
Moved 355.8773 351.661 268.983 -0.01930321 0.1677259
Moved 355.9078 352 277.2658 -0.01851852 0.2156588
Moved 355.9381 352.919 285.6761 -0.01639113 0.2643292
Moved 355.9732 353 294.299 -0.01620372 0.3142306
Moved 356.0038 353 300.828 -0.01620372 0.3520141
Moved 356.0362 344.7661 305.1763 -0.03526365 0.3771777
Moved 356.0754 336.5063 306 -0.05438368 0.3819445
Moved 356.1178 307.9613 294.9807 -0.12046 0.3181751
Moved 356.1686 269.3506 277.1403 -0.2098365 0.2149322
Moved 356.1994 256.3013 269.6507 -0.2400432 0.1715897
Moved 356.2315 247.6787 265.5596 -0.260003 0.1479144
Moved 356.2637 243.6222 262.8111 -0.2693931 0.1320087
Moved 356.3068 241 259.9783 -0.275463 0.1156148
Moved 356.3385 238.2242 259.2242 -0.2818885 0.1112511
Moved 356.3707 236.7397 257.7397 -0.2853248 0.1026607
Moved 356.403 233.0717 254.0717 -0.2938155 0.0814332
Moved 356.4356 227.3033 248.3032 -0.3071683 0.04805106
Moved 356.4709 223.5446 243.0891 -0.3158691 0.0178768
Moved 356.5273 221 240 -0.3217593 0
Ended 356.5567 221 240 -0.3217593 0
Began 356.7505 365 216 0.01157403 -0.1388889
Stationary 356.7831 365 216 0.01157403 -0.1388889
Stationary 356.8174 365 216 0.01157403 -0.1388889
Moved 356.8469 354.5234 216 -0.01267731 -0.1388889
Moved 356.8795 343.2755 216 -0.03871416 -0.1388889
Moved 356.9126 330.171 227.4146 -0.06904865 -0.07283247
Moved 356.9462 317.6992 233.9203 -0.09791856 -0.03518352
Moved 356.9799 303.787 243.8087 -0.1301228 0.02204118
Moved 357.0147 283.0001 255 -0.1782406 0.08680573
Moved 357.0472 272.709 260.5273 -0.2020625 0.1187925
Moved 357.079 261.4314 267.5686 -0.2281681 0.1595405
Moved 357.1152 255.0667 272.9332 -0.2429011 0.1905858
Moved 357.15 248.2721 279.4557 -0.2586293 0.2283315
Moved 357.1797 246.517 284.483 -0.2626921 0.2574246
Moved 357.2096 246 290.6736 -0.2638889 0.2932503
Moved 357.2429 246 294.6589 -0.2638889 0.3163131
Moved 357.2727 255.482 301.241 -0.2419397 0.3544043
Moved 357.3024 270.9032 308.3613 -0.2062426 0.3956094
Moved 357.3507 289.1471 311 -0.1640114 0.4108796
Moved 357.38 302.1939 312 -0.1338103 0.4166669
Moved 357.4098 311.6613 312 -0.1118951 0.4166669
Moved 357.4389 318.63 312 -0.09576389 0.4166669
Moved 357.4683 323.5069 312 -0.08447478 0.4166669
Moved 357.4983 328 312 -0.07407407 0.4166669
Moved 357.5276 330.2755 312 -0.0688068 0.4166669
Ended 357.5594 335 312 -0.05787035 0.4166669
Began 357.8351 456 294 0.2222222 0.3125
Stationary 357.8761 456 294 0.2222222 0.3125
Stationary 357.9095 456 294 0.2222222 0.3125
