watch out for low flying objects
Basic
0.6 0.6
432 172.8
Began 310.9297 240 289 -0.2777777 0.283565
Stationary 310.9659 240 289 -0.2777777 0.283565
Stationary 310.9968 240 289 -0.2777777 0.283565
Stationary 311.0266 240 289 -0.2777777 0.283565
Stationary 311.0554 240 289 -0.2777777 0.283565
Moved 311.0825 220.2912 276.9684 -0.3234001 0.2139374
Moved 311.1125 210.252 269.689 -0.346639 0.171811
Moved 311.1424 202.4101 264.6068 -0.3647915 0.1424002
Moved 311.1729 196.6902 261.3451 -0.3780321 0.123525
Moved 311.2031 193.5994 258.5994 -0.3851866 0.1076352
Moved 311.2324 190.8577 256.8577 -0.3915331 0.09755612
Moved 311.2616 189 255.1169 -0.3958333 0.08748249
Moved 311.297 186.6944 252.6943 -0.4011704 0.0734626
Moved 311.3253 185 244.8961 -0.4050926 0.02833419
Moved 311.3534 185 239.3829 -0.4050926 -0.00357098
Moved 311.3796 185 237.8125 -0.4050926 -0.01265897
Moved 311.406 196.1697 237 -0.3792367 -0.01736093
Moved 311.4326 219.4032 246.3822 -0.3254555 0.03693422
Moved 311.4607 254.3101 262.655 -0.2446525 0.1311055
Moved 311.4932 283.8463 278.3591 -0.1762817 0.2219854
Moved 311.52 293.5404 283.7447 -0.1538416 0.2531523
Moved 311.5478 310.7877 293.0908 -0.1139174 0.3072382
Moved 311.5906 319 296 -0.09490739 0.3240741
Moved 311.6289 320.2201 296 -0.09208307 0.3240741
Stationary 311.6546 320 296 -0.09259259 0.3240741
Moved 311.6804 320 283.1653 -0.09259259 0.2497996
Moved 311.7148 308.4272 261.8057 -0.1193816 0.1261905
Moved 311.743 301.0204 242.0614 -0.1365267 0.01192923
Moved 311.7705 292.4798 222.4395 -0.1562968 -0.1016234
Moved 311.7995 284.5 204 -0.1747685 -0.2083332
Moved 311.8264 284.1061 196.6368 -0.1756802 -0.250944
Moved 311.8535 284 186.5 -0.1759259 -0.3096063
Moved 311.8977 295.8015 179.5248 -0.1486077 -0.3499724
Moved 311.9272 306.1718 180 -0.1246024 -0.3472222
Moved 311.9559 328.9313 192.9618 -0.07191826 -0.2722117
Moved 311.9867 354.8918 207.8535 -0.01182467 -0.1860329
Moved 312.0173 369.7867 216.472 0.02265443 -0.136157
Moved 312.0449 381.6783 224.7587 0.05018115 -0.08820216
Moved 312.072 387.1794 230.1794 0.06291528 -0.05683193
Moved 312.0991 394.2449 236.2449 0.07927061 -0.02173088
Moved 312.1264 401 243 0.09490739 0.01736111
Moved 312.1519 402.8749 244.7499 0.0992475 0.02748772
Ended 312.1932 410.1195 249.0797 0.1160175 0.05254463
Began 312.5132 536 295 0.4074074 0.318287
Stationary 312.5476 536 295 0.4074074 0.318287
Stationary 312.5732 536 295 0.4074074 0.318287
Moved 312.6019 522.1138 295 0.3752634 0.318287
Moved 312.6306 511.9883 295 0.3518248 0.318287
Moved 312.6572 504.8708 295 0.3353491 0.318287
Moved 312.6831 490.0421 302 0.3010235 0.3587963
Moved 312.7101 476.2529 303 0.2691038 0.3645834
Moved 312.7424 461.5 304 0.2349537 0.3703706
Moved 312.7723 447.3666 305 0.2022375 0.3761576
Moved 312.7985 439.3223 305 0.1836164 0.3761576
Moved 312.8238 425.5425 305 0.1517188 0.3761576
Moved 312.8506 411.7466 305 0.1197837 0.3761576
Moved 312.8829 394.7919 305 0.0805368 0.3761576
Moved 312.9102 383.187 306.2032 0.05367348 0.3831205
Moved 312.9371 377.2328 306.5891 0.0398908 0.3853533
Moved 312.9636 367.958 308.3474 0.01842131 0.3955287
Moved 312.9919 357.8144 309 -0.005059193 0.3993057
Moved 313.0207 346.303 310 -0.03170594 0.4050926
Moved 313.0717 333.877 310.7077 -0.06047 0.4091881
Moved 313.0993 327.6996 311 -0.07476956 0.4108796
Moved 313.1251 323.1093 311 -0.08539522 0.4108796
Moved 313.1512 320.4769 311 -0.09148861 0.4108796
Moved 313.1768 318.9768 312 -0.09496107 0.4166669
Ended 313.2032 319 312 -0.09490739 0.4166669
Began 313.4059 270 230 -0.2083333 -0.05787019
Stationary 313.4406 270 230 -0.2083333 -0.05787019
Stationary 313.4711 270 230 -0.2083333 -0.05787019
Moved 313.4981 277.5139 230 -0.1909401 -0.05787019
Moved 313.5264 301.1566 241.0427 -0.1362116 0.006034286
Moved 313.5624 326.9801 252.192 -0.07643486 0.07055566
Moved 313.5912 352.5837 261.2335 -0.01716743 0.1228788
Moved 313.6221 376.2583 268.9678 0.03763497 0.1676379
Moved 313.6498 395.1295 274.4656 0.08131842 0.1994536
Moved 313.6798 415.9257 280.4721 0.1294576 0.2342136
Moved 313.7095 434.8024 284.515 0.1731537 0.2576097
Moved 313.7364 443.401 287.2574 0.1930579 0.2734808
Moved 313.7709 463.8301 292.4575 0.2403476 0.3035736
Moved 313.7968 468.4961 293.832 0.2511484 0.311528
Moved 313.823 477.5 295.5 0.2719907 0.3211806
Moved 313.854 481.3616 295 0.2809296 0.318287
Moved 313.8822 483 296 0.2847222 0.3240741
Stationary 313.9091 483 296 0.2847222 0.3240741
Stationary 313.9349 483 296 0.2847222 0.3240741
Moved 313.9619 470.5227 285.5767 0.2558396 0.2637542
Moved 314.0002 425 270.5 0.150463 0.1765046
Moved 314.0273 404.9196 269.0767 0.1039807 0.1682677
Moved 314.0721 359.4676 268 -0.001232525 0.162037
Moved 314.0995 341.3664 268 -0.0431333 0.162037
Moved 314.1303 320.1829 268 -0.09216928 0.162037
Moved 314.1574 302.8911 277.0218 -0.1321966 0.2142465
Moved 314.1863 291.6695 278.7769 -0.1581724 0.2244031
Moved 314.2137 289.2824 279.8588 -0.1636981 0.2306643
Moved 314.2412 284.5 282.5 -0.1747685 0.2459491
Moved 314.2691 283 285.3344 -0.1782407 0.2623516
Moved 314.2957 283 295.4739 -0.1782407 0.3210299
Ended 314.3225 283 295.4739 -0.1782407 0.3210299
Began 314.5764 505 256 0.3356481 0.0925926
Stationary 314.6123 505 256 0.3356481 0.0925926
Stationary 314.6379 505 256 0.3356481 0.0925926
Stationary 314.6641 505 256 0.3356481 0.0925926
